Rotundine,WT-1,WT-2,WT-3,ROTU1-1,ROTU1-2,ROTU1-3,ROTU2-1,ROTU2-2,ROTU2-3,ROTU3-1,ROTU3-2,ROTU3-3,ROTU4-1,ROTU4-2,ROTU4-3,DH10B
0,2231.485407,2373.972541,2361.367182,1009.053696,975.3637491,905.9484426,770.7650604,740.2053109,688.3860223,919.2476648,845.5003671,849.0043976,263.3144803,222.6950407,245.5199657,137.4695819
0.1,2336.622366,2356.073625,2313.677397,1011.350393,1002.513693,946.0993132,769.7851925,760.7398302,717.0650144,960.6562308,917.7130569,904.6759774,228.2913208,215.3109992,216.0451332,141.2541267
0.25,2362.698587,2414.780517,2328.198211,999.7183727,1034.533254,962.2960152,796.5821343,790.3779836,724.9893119,1077.28337,1034.144938,1034.928864,280.3468322,288.9054239,242.9702517,143.6406374
0.5,2375.84268,2420.587025,2369.988115,1017.736508,1031.894931,979.3300091,831.1436793,832.7402305,771.8357543,1260.844374,1203.290606,1175.985667,375.33512,403.7531897,357.723589,150.5711343
1,2405.290003,2472.309598,2408.719257,1069.173374,1083.284794,1029.852871,918.135318,873.3497743,848.8672529,1810.920699,1728.498036,1696.44111,1174.48725,1265.186466,1175.494388,140.3464422
2.5,2486.418797,2501.743048,2447.245868,1196.089753,1203.877874,1099.350856,1178.850488,1123.357332,1093.164079,4187.895886,3979.747543,3776.775798,6945.945856,8503.259824,8032.518359,143.6927735
5,2516.850649,2568.578449,2463.829204,1420.109577,1428.366734,1312.071588,1830.747554,1699.04978,1644.977339,10342.30531,9614.95706,9789.939594,19409.99559,21998.58476,20134.7746,147.6738071
10,2611.719345,2669.088825,2608.515841,2036.825497,2074.582168,1909.244225,4177.076135,3642.847203,3712.2283,24696.55938,22569.86242,22180.63823,37561.83219,41032.95029,38296.4395,151.1627928
25,3006.134891,3052.601294,2922.068878,4736.22517,4810.725732,4457.590886,14330.73062,13126.47852,12278.25574,44681.2044,43117.41616,42864.69924,53073.10002,54751.08557,52173.25203,158.240579
50,3669.483378,3694.337658,3511.598775,10606.40771,10717.57916,9889.779641,28987.21886,27523.65198,25720.62362,56921.55613,53620.69164,54346.45536,57077.70388,58317.30117,55943.37193,152.1710584
100,3728.736879,3755.88859,3518.705653,11808.97501,12566.34558,11276.53568,30192.33458,27704.73068,28330.05569,58223.87434,54501.21114,53912.69142,56448.85806,57048.5132,55447.28607,141.0638001
250,3974.376765,3903.891323,3846.153761,16138.54444,15872.54932,14045.18805,32401.07049,29535.90653,32937.90545,58901.95592,55351.20321,53201.85071,55147.24476,56617.95264,54669.60219,147.3792091
