Application: Tecan i-control,,,,"Tecan i-control , 1.10.4.0",,,,,,,,
Device: infinite 200Pro,,,,Serial number: 1301007221,,,,Serial number of connected stacker:,,,,
Firmware: V_3.37_07/12_Infinite (Jul 20 2012/13.56.47),,,,"MAI, V_3.37_07/12_Infinite (Jul 20 2012/13.56.47)",,,,,,,,
,,,,,,,,,,,,
Date:,1/7/2020,,,,,,,,,,,
Time:,5:57:33 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
System,,,,CSSB-TOPCAT,,,,,,,,
User,,,,CSSB-TOPCAT\AE_Lab_User,,,,,,,,
Plate,,,,Corning 96 Flat Bottom Black Polystyrene Cat. No.: 3631 [COR96fb clear bottom.pdfx],,,,,,,,
Plate-ID (Stacker),,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: od600,,,,,,,,,,,,
Mode,,,,Absorbance,,,,,,,,
Wavelength,,,,600,nm,,,,,,,
Bandwidth,,,,9,nm,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Settle Time,,,,0,ms,,,,,,,
Start Time:,1/7/2020 5:57:33 PM,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 27.7 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,0.6308000088,0.5932000279,0.5680999756,0.5728999972,0.5745999813,0.5722000003,0.5755000114,0.5953000188,0.5835000277,0.5828999877,0.5812000036,0.5882999897
B,0.5953999758,0.5939000249,0.568599999,0.587199986,0.5742999911,0.5717999935,0.5667999983,0.5896000266,0.5770999789,0.5849000216,0.5935999751,0.5819000006
C,0.6013000011,0.6060000062,0.5641000271,0.5695999861,0.5651000142,0.5688999891,0.5672000051,0.5717999935,0.570299983,0.5806999803,0.5752999783,0.5832999945
D,0.605799973,0.6021000147,0.5924999714,0.594900012,0.5878000259,0.5927000046,0.5932999849,0.5957999825,0.5981000066,0.6036999822,0.6155999899,0.6144000292
E,0.6378999949,0.6370999813,0.6176999807,0.6259999871,0.6115999818,0.6212000251,0.581799984,0.5846999884,0.5855000019,0.5978999734,0.5934000015,0.6065999866
F,0.5863000154,0.6000999808,0.5920000076,0.5985000134,0.5838999748,0.5909000039,0.5759000182,0.575699985,0.5845000148,0.590200007,0.5911999941,0.5903999805
G,0.600399971,0.6006000042,0.5838000178,0.6004999876,0.608099997,0.5866000056,0.6717000008,0.6725000143,0.6794000268,0.6808000207,0.6740999818,0.6690000296
H,0.6126000285,0.6136999726,0.6000000238,0.6143000126,0.622699976,0.5938000083,0.5881999731,0.59799999,0.6069999933,0.6255999804,0.6241000295,0.6175000072
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,1/7/2020 5:58:49 PM,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Label: Manual-70_GFP,,,,,,,,,,,,
Mode,,,,Fluorescence Top Reading,,,,,,,,
Excitation Wavelength,,,,475,nm,,,,,,,
Emission Wavelength,,,,509,nm,,,,,,,
Excitation Bandwidth,,,,9,nm,,,,,,,
Emission Bandwidth,,,,20,nm,,,,,,,
Gain,,,,70,Manual,,,,,,,
Number of Flashes,,,,25,,,,,,,,
Integration Time,,,,20,µs,,,,,,,
Lag Time,,,,0,µs,,,,,,,
Settle Time,,,,0,ms,,,,,,,
Z-Position (Manual),,,,20000,µm,,,,,,,
Start Time:,1/7/2020 5:58:54 PM,,,,,,,,,,,
,,,,,,,,,,,,
,Temperature: 27.8 °C,,,,,,,,,,,
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,6892,194,192,192,263,180,190,11561,196,275,1494,175
B,6579,193,193,190,262,178,190,11663,194,291,1325,179
C,6185,195,192,195,253,180,183,11464,192,283,1230,177
D,795,814,10384,1056,2966,747,1146,647,1430,24415,864,415
E,870,890,10254,1170,3413,840,1084,587,1348,24887,885,407
F,773,794,10537,1094,2801,752,1068,592,1357,24120,869,395
G,1293,509,963,19363,38689,356,115,118,116,115,118,113
H,1351,521,951,18634,39920,357,1170,475,897,18277,40766,369
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
End Time:,1/7/2020 6:00:13 PM,,,,,,,,,,,
