Noscapine,WT-1,WT-2,WT-3,NOS1-1,NOS1-2,NOS1-3,NOS2-1,NOS2-2,NOS2-3,NOS3-1,NOS3-2,NOS3-3,NOS4-1,NOS4-2,NOS4-3,DH10B
0,2122.865005,2070.216159,2125.960952,471.3855601,458.1055148,486.4373319,301.613631,332.504668,329.5215094,315.3930573,301.8575722,303.691025,302.1442545,291.2937413,295.6738251,176.5650035
0.05,2098.40383,2060.863429,2115.899029,467.6794683,464.2962177,469.3414151,306.0912134,313.5941598,326.5499358,313.5313583,318.1818055,330.5279162,324.0082054,307.4739942,305.8152437,165.7528945
0.1,2083.578574,2094.8894,2129.022905,471.6701287,456.7133881,471.883025,314.5418587,320.8149602,328.8231743,328.1415376,333.3845413,350.985206,323.9436627,344.827602,332.5452973,180.1085921
0.25,2092.9889,2079.151211,2141.162604,488.6588606,476.3326674,472.4289963,318.2861415,333.5382641,321.7115779,379.1251037,378.6601256,384.0878061,428.5940088,419.7852243,446.6858838,163.8504882
0.5,2094.959889,2088.243729,2158.834928,481.8361631,479.5632405,508.6848577,340.6627468,347.8528627,337.5120474,528.9359272,557.67761,578.1419092,847.7536404,782.0217318,806.3482148,169.3404692
1,2096.486053,2066.656984,2114.139464,490.2260249,481.4487678,504.7560781,337.7139411,360.9771185,364.5161262,1017.564242,1034.214608,1085.972871,2402.071878,2131.661362,2214.147318,178.8532358
2.5,2101.644152,2087.576425,2137.520959,534.6443334,517.7754707,540.0060747,396.9811178,386.0885511,401.8497906,4907.222618,4891.607351,5198.042297,12954.54583,11659.07657,12055.42349,164.1675322
5,2131.367259,2119.849149,2173.117979,598.2115489,598.2395881,600.0609213,507.1268027,512.662141,522.0306564,13689.00781,13915.04314,14901.50479,29985.74071,28701.23803,27653.02968,166.3914665
10,2154.3311,2125.018218,2210.333172,767.9516517,752.8494051,782.8125175,890.084551,898.4550698,929.2737436,29991.08567,29632.62113,31244.00344,50227.20133,46548.40914,46495.35405,175.964548
25,2303.587293,2214.735679,2305.861268,1600.306286,1532.890734,1615.594629,3605.379936,3411.426876,3679.350551,50811.06636,50325.7928,52392.59167,64478.43258,62559.45797,63488.58276,147.6866285
50,2516.0233,2431.729559,2499.999947,3741.755982,3469.748218,3699.133223,9377.384101,9441.282543,11386.13812,59583.84837,58694.98876,59770.21871,67532.73528,65368.54929,66374.86373,137.6628814
100,2798.114686,2611.070074,2638.565,6249.093779,6706.755739,6487.568539,17520.87137,16720.76413,20699.78697,62481.81973,59763.8406,61517.81566,68411.12005,64420.22663,69698.27787,177.0956248
