URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/152.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	4OmeNB STD 500uM
Number	21
Position	B:C1
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/10/2022 4:30:35 AM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003383
Time Max. (min)	28.000050
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.563674
Signal Max.	60.007488
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.003383	n.a.	0.000000
0.006717	0.2	-0.000065
0.010050	0.2	-0.000396
0.013383	0.2	-0.001066
0.016717	0.2	-0.001867
0.020050	0.2	-0.002733
0.023383	0.2	-0.003828
0.026717	0.2	-0.005155
0.030050	0.2	-0.006696
0.033383	0.2	-0.008363
0.036717	0.2	-0.009555
0.040050	0.2	-0.009704
0.043383	0.2	-0.009239
0.046717	0.2	-0.009346
0.050050	0.2	-0.010822
0.053383	0.2	-0.013206
0.056717	0.2	-0.015176
0.060050	0.2	-0.015888
0.063383	0.2	-0.015628
0.066717	0.2	-0.015018
0.070050	0.2	-0.014110
0.073383	0.2	-0.012526
0.076717	0.2	-0.010207
0.080050	0.2	-0.007614
0.083383	0.2	-0.005378
0.086717	0.2	-0.004023
0.090050	0.2	-0.003912
0.093383	0.2	-0.005346
0.096717	0.2	-0.008447
0.100050	0.2	-0.012829
0.103383	0.2	-0.017351
0.106717	0.2	-0.020564
0.110050	0.2	-0.021704
0.113383	0.2	-0.021048
0.116717	0.2	-0.019339
0.120050	0.2	-0.017281
0.123383	0.2	-0.015707
0.126717	0.2	-0.015516
0.130050	0.2	-0.016848
0.133383	0.2	-0.018673
0.136717	0.2	-0.019777
0.140050	0.2	-0.019753
0.143383	0.2	-0.019171
0.146717	0.2	-0.019022
0.150050	0.2	-0.019912
0.153383	0.2	-0.021691
0.156717	0.2	-0.023632
0.160050	0.2	-0.024899
0.163383	0.2	-0.025099
0.166717	0.2	-0.024703
0.170050	0.2	-0.024647
0.173383	0.2	-0.025313
0.176717	0.2	-0.026096
0.180050	0.2	-0.026054
0.183383	0.2	-0.024857
0.186717	0.2	-0.023162
0.190050	0.2	-0.021937
0.193383	0.2	-0.021528
0.196717	0.2	-0.021746
0.200050	0.2	-0.022515
0.203383	0.2	-0.023884
0.206717	0.2	-0.025532
0.210050	0.2	-0.026599
0.213383	0.2	-0.026445
0.216717	0.2	-0.025267
0.220050	0.2	-0.023763
0.223383	0.2	-0.022650
0.226717	0.2	-0.022305
0.230050	0.2	-0.022696
0.233383	0.2	-0.023693
0.236717	0.2	-0.025034
0.240050	0.2	-0.026086
0.243383	0.2	-0.026282
0.246717	0.2	-0.025663
0.250050	0.2	-0.024708
0.253383	0.2	-0.023814
0.256717	0.2	-0.022980
0.260050	0.2	-0.021835
0.263383	0.2	-0.020131
0.266717	0.2	-0.018189
0.270050	0.2	-0.016675
0.273383	0.2	-0.016163
0.276717	0.2	-0.016997
0.280050	0.2	-0.018906
0.283383	0.2	-0.020894
0.286717	0.2	-0.022049
0.290050	0.2	-0.022189
0.293383	0.2	-0.021765
0.296717	0.2	-0.021602
0.300050	0.2	-0.022501
0.303383	0.2	-0.024354
0.306717	0.2	-0.025923
0.310050	0.2	-0.025998
0.313383	0.2	-0.024918
0.316717	0.2	-0.024098
0.320050	0.2	-0.024368
0.323383	0.2	-0.025448
0.326717	0.2	-0.026436
0.330050	0.2	-0.026538
0.333383	0.2	-0.025965
0.336717	0.2	-0.025765
0.340050	0.2	-0.026599
0.343383	0.2	-0.028126
0.346717	0.2	-0.029528
0.350050	0.2	-0.030296
0.353383	0.2	-0.030431
0.356717	0.2	-0.029951
0.360050	0.2	-0.028750
0.363383	0.2	-0.027255
0.366717	0.2	-0.026440
0.370050	0.2	-0.026915
0.373383	0.2	-0.028322
0.376717	0.2	-0.029840
0.380050	0.2	-0.030971
0.383383	0.2	-0.031712
0.386717	0.2	-0.032266
0.390050	0.2	-0.032722
0.393383	0.2	-0.033118
0.396717	0.2	-0.033714
0.400050	0.2	-0.034831
0.403383	0.2	-0.036256
0.406717	0.2	-0.037407
0.410050	0.2	-0.037812
0.413383	0.2	-0.037290
0.416717	0.2	-0.036117
0.420050	0.2	-0.035013
0.423383	0.2	-0.034566
0.426717	0.2	-0.034692
0.430050	0.2	-0.034752
0.433383	0.2	-0.034231
0.436717	0.2	-0.033262
0.440050	0.2	-0.032466
0.443383	0.2	-0.032452
0.446717	0.2	-0.033542
0.450050	0.2	-0.035767
0.453383	0.2	-0.038939
0.456717	0.2	-0.042557
0.460050	0.2	-0.045653
0.463383	0.2	-0.047032
0.466717	0.2	-0.046073
0.470050	0.2	-0.043395
0.473383	0.2	-0.040485
0.476717	0.2	-0.038655
0.480050	0.2	-0.038412
0.483383	0.2	-0.039227
0.486717	0.2	-0.040019
0.490050	0.2	-0.040289
0.493383	0.2	-0.040536
0.496717	0.2	-0.041248
0.500050	0.2	-0.042198
0.503383	0.2	-0.042901
0.506717	0.2	-0.043204
0.510050	0.2	-0.043255
0.513383	0.2	-0.043097
0.516717	0.2	-0.042631
0.520050	0.2	-0.042026
