URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/840.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	Norbelladine STD 500uM
Number	10
Position	B:A9
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/9/2022 11:15:05 PM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	28.000033
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.548796
Signal Max.	60.285786
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.003367	n.a.	0.000000
0.006700	0.2	0.000056
0.010033	0.2	0.000331
0.013367	0.2	0.001010
0.016700	0.2	0.002207
0.020033	0.2	0.003781
0.023367	0.2	0.005187
0.026700	0.2	0.005746
0.030033	0.2	0.005173
0.033367	0.2	0.003763
0.036700	0.2	0.002151
0.040033	0.2	0.000848
0.043367	0.2	0.000251
0.046700	0.2	0.000778
0.050033	0.2	0.002505
0.053367	0.2	0.004573
0.056700	0.2	0.005462
0.060033	0.2	0.004191
0.063367	0.2	0.001439
0.066700	0.2	-0.000917
0.070033	0.2	-0.001458
0.073367	0.2	-0.000214
0.076700	0.2	0.001621
0.080033	0.2	0.002547
0.083367	0.2	0.001695
0.086700	0.2	-0.000549
0.090033	0.2	-0.002799
0.093367	0.2	-0.003935
0.096700	0.2	-0.004014
0.100033	0.2	-0.003749
0.103367	0.2	-0.003572
0.106700	0.2	-0.003520
0.110033	0.2	-0.003693
0.113367	0.2	-0.004191
0.116700	0.2	-0.004941
0.120033	0.2	-0.005658
0.123367	0.2	-0.005765
0.126700	0.2	-0.004633
0.130033	0.2	-0.002398
0.133367	0.2	-0.000219
0.136700	0.2	0.000838
0.140033	0.2	0.000852
0.143367	0.2	0.000717
0.146700	0.2	0.000997
0.150033	0.2	0.001448
0.153367	0.2	0.001458
0.156700	0.2	0.000512
0.160033	0.2	-0.001504
0.163367	0.2	-0.004186
0.166700	0.2	-0.006799
0.170033	0.2	-0.008713
0.173367	0.2	-0.009714
0.176700	0.2	-0.009974
0.180033	0.2	-0.009700
0.183367	0.2	-0.009011
0.186700	0.2	-0.008265
0.190033	0.2	-0.008107
0.193367	0.2	-0.008694
0.196700	0.2	-0.009462
0.200033	0.2	-0.009798
0.203367	0.2	-0.009425
0.206700	0.2	-0.008517
0.210033	0.2	-0.007725
0.213367	0.2	-0.007851
0.216700	0.2	-0.009187
0.220033	0.2	-0.011120
0.223367	0.2	-0.012643
0.226700	0.2	-0.013262
0.230033	0.2	-0.013122
0.233367	0.2	-0.012368
0.236700	0.2	-0.011190
0.240033	0.2	-0.010198
0.243367	0.2	-0.009933
0.246700	0.2	-0.010249
0.250033	0.2	-0.010571
0.253367	0.2	-0.010692
0.256700	0.2	-0.010906
0.260033	0.2	-0.011222
0.263367	0.2	-0.010994
0.266700	0.2	-0.009770
0.270033	0.2	-0.007888
0.273367	0.2	-0.006044
0.276700	0.2	-0.004889
0.280033	0.2	-0.004875
0.283367	0.2	-0.005979
0.286700	0.2	-0.007660
0.290033	0.2	-0.009374
0.293367	0.2	-0.011022
0.296700	0.2	-0.013015
0.300033	0.2	-0.015730
0.303367	0.2	-0.018757
0.306700	0.2	-0.021122
0.310033	0.2	-0.022170
0.313367	0.2	-0.021909
0.316700	0.2	-0.020643
0.320033	0.2	-0.018631
0.323367	0.2	-0.016158
0.326700	0.2	-0.013625
0.330033	0.2	-0.011483
0.333367	0.2	-0.009984
0.336700	0.2	-0.009164
0.340033	0.2	-0.009076
0.343367	0.2	-0.009788
0.346700	0.2	-0.010994
0.350033	0.2	-0.012107
0.353367	0.2	-0.012959
0.356700	0.2	-0.013961
0.360033	0.2	-0.015544
0.363367	0.2	-0.017649
0.366700	0.2	-0.019721
0.370033	0.2	-0.021164
0.373367	0.2	-0.021746
0.376700	0.2	-0.021695
0.380033	0.2	-0.021458
0.383367	0.2	-0.021402
0.386700	0.2	-0.021621
0.390033	0.2	-0.021816
0.393367	0.2	-0.021635
0.396700	0.2	-0.021067
0.400033	0.2	-0.020307
0.403367	0.2	-0.019721
0.406700	0.2	-0.019916
0.410033	0.2	-0.021099
0.413367	0.2	-0.022417
0.416700	0.2	-0.022724
0.420033	0.2	-0.022100
0.423367	0.2	-0.021919
0.426700	0.2	-0.023167
0.430033	0.2	-0.025365
0.433367	0.2	-0.027204
0.436700	0.2	-0.027809
0.440033	0.2	-0.027339
0.443367	0.2	-0.026538
0.446700	0.2	-0.026063
0.450033	0.2	-0.026273
0.453367	0.2	-0.027246
0.456700	0.2	-0.028759
0.460033	0.2	-0.030254
0.463367	0.2	-0.031153
0.466700	0.2	-0.031446
0.470033	0.2	-0.031679
0.473367	0.2	-0.032075
0.476700	0.2	-0.032107
0.480033	0.2	-0.031269
0.483367	0.2	-0.029714
0.486700	0.2	-0.028117
0.490033	0.2	-0.027157
0.493367	0.2	-0.026939
0.496700	0.2	-0.026957
0.500033	0.2	-0.026757
0.503367	0.2	-0.026487
0.506700	0.2	-0.026901
0.510033	0.2	-0.028540
0.513367	0.2	-0.030901
0.516700	0.2	-0.032778
0.520033	0.2	-0.033528
0.523367	0.2	-0.033649
0.526700	0.2	-0.034054
0.530033	0.2	-0.035097
0.533367	0.2	-0.036564
0.536700	0.2	-0.037933
0.540033	0.2	-0.038533
0.543367	0.2	-0.038138
0.546700	0.2	-0.037160
0.550033	0.2	-0.035963
0.553367	0.2	-0.034617
0.556700	0.2	-0.033337
0.560033	0.2	-0.032866
0.563367	0.2	-0.033909
0.566700	0.2	-0.036419
0.570033	0.2	-0.039684
0.573367	0.2	-0.042701
0.576700	0.2	-0.044531
0.580033	0.2	-0.044690
0.583367	0.2	-0.043227
0.586700	0.2	-0.040601
0.590033	0.2	-0.037644
0.593367	0.2	-0.035083
0.596700	0.2	-0.033234
0.600033	0.2	-0.032336
0.603367	0.2	-0.032480
0.606700	0.2	-0.033150
0.610033	0.2	-0.033523
0.613367	0.2	-0.033141
0.616700	0.2	-0.032331
0.620033	0.2	-0.031968
0.623367	0.2	-0.032443
0.626700	0.2	-0.033220
0.630033	0.2	-0.033434
0.633367	0.2	-0.032503
0.636700	0.2	-0.030803
0.640033	0.2	-0.029635
0.643367	0.2	-0.029821
0.646700	0.2	-0.030962
0.650033	0.2	-0.032466
0.653367	0.2	-0.034114
0.656700	0.2	-0.035502
0.660033	0.2	-0.035889
0.663367	0.2	-0.034957
0.666700	0.2	-0.033379
0.670033	0.2	-0.032424
0.673367	0.2	-0.033071
0.676700	0.2	-0.035325
0.680033	0.2	-0.038235
0.683367	0.2	-0.040540
0.686700	0.2	-0.041365
0.690033	0.2	-0.040689
0.693367	0.2	-0.039176
0.696700	0.2	-0.037509
0.700033	0.2	-0.036154
0.703367	0.2	-0.035469
0.706700	0.2	-0.035483
0.710033	0.2	-0.035856
0.713367	0.2	-0.036261
0.716700	0.2	-0.036522
0.720033	0.2	-0.036662
0.723367	0.2	-0.037183
0.726700	0.2	-0.038757
0.730033	0.2	-0.041402
0.733367	0.2	-0.044424
0.736700	0.2	-0.047106
0.740033	0.2	-0.049053
0.743367	0.2	-0.050021
0.746700	0.2	-0.049700
0.750033	0.2	-0.047944
0.753367	0.2	-0.045276
0.756700	0.2	-0.042701
0.760033	0.2	-0.040890
0.763367	0.2	-0.039726
0.766700	0.2	-0.038799
0.770033	0.2	-0.038268
0.773367	0.2	-0.038967
0.776700	0.2	-0.041211
0.780033	0.2	-0.044121
0.783367	0.2	-0.046501
0.786700	0.2	-0.047795
0.790033	0.2	-0.048126
0.793367	0.2	-0.047958
0.796700	0.2	-0.047889
0.800033	0.2	-0.048354
0.803367	0.2	-0.049295
0.806700	0.2	-0.050133
0.810033	0.2	-0.050212
0.813367	0.2	-0.049439
0.816700	0.2	-0.048471
0.820033	0.2	-0.048452
0.823367	0.2	-0.050240
0.826700	0.2	-0.053439
0.830033	0.2	-0.056420
0.833367	0.2	-0.057579
0.836700	0.2	-0.056415
0.840033	0.2	-0.053816
0.843367	0.2	-0.051507
0.846700	0.2	-0.050827
0.850033	0.2	-0.051986
0.853367	0.2	-0.054156
0.856700	0.2	-0.056135
0.860033	0.2	-0.056867
0.863367	0.2	-0.055796
0.866700	0.2	-0.053253
0.870033	0.2	-0.050520
0.873367	0.2	-0.048941
0.876700	0.2	-0.048801
0.880033	0.2	-0.049337
0.883367	0.2	-0.049877
0.886700	0.2	-0.050366
0.890033	0.2	-0.050836
0.893367	0.2	-0.051255
0.896700	0.2	-0.051772
0.900033	0.2	-0.052815
0.903367	0.2	-0.054827
0.906700	0.2	-0.057500
0.910033	0.2	-0.059549
0.913367	0.2	-0.059954
0.916700	0.2	-0.058957
0.920033	0.2	-0.057220
0.923367	0.2	-0.054999
0.926700	0.2	-0.052480
0.930033	0.2	-0.050166
0.933367	0.2	-0.048699
0.936700	0.2	-0.048499
0.940033	0.2	-0.049565
0.943367	0.2	-0.051521
0.946700	0.2	-0.053714
0.950033	0.2	-0.055525
0.953367	0.2	-0.056704
0.956700	0.2	-0.057505
0.960033	0.2	-0.058194
0.963367	0.2	-0.058343
0.966700	0.2	-0.057393
0.970033	0.2	-0.055558
0.973367	0.2	-0.053640
0.976700	0.2	-0.052452
0.980033	0.2	-0.052401
0.983367	0.2	-0.053220
0.986700	0.2	-0.054389
0.990033	0.2	-0.055619
0.993367	0.2	-0.056853
0.996700	0.2	-0.057961
1.000033	0.2	-0.058645
1.003367	0.2	-0.058846
1.006700	0.2	-0.058841
1.010033	0.2	-0.058906
1.013367	0.2	-0.059484
1.016700	0.2	-0.060946
1.020033	0.2	-0.062832
1.023367	0.2	-0.064205
1.026700	0.2	-0.064457
1.030033	0.2	-0.063363
1.033367	0.2	-0.060983
1.036700	0.2	-0.057891
1.040033	0.2	-0.054920
1.043367	0.2	-0.052685
1.046700	0.2	-0.051460
1.050033	0.2	-0.051432
1.053367	0.2	-0.052592
1.056700	0.2	-0.054305
1.060033	0.2	-0.055293
1.063367	0.2	-0.053742
1.066700	0.2	-0.047693
1.070033	0.2	-0.035716
1.073367	0.2	-0.016894
1.076700	0.2	0.010147
1.080033	0.2	0.047991
1.083367	0.2	0.101267
1.086700	0.2	0.179419
1.090033	0.2	0.304580
1.093367	0.2	0.528344
1.096700	0.2	0.949176
1.100033	0.2	1.700427
1.103367	0.2	2.890816
1.106700	0.2	4.533841
1.110033	0.2	6.528362
1.113367	0.2	8.707801
1.116700	0.2	10.913224
1.120033	0.2	13.034143
1.123367	0.2	15.005656
1.126700	0.2	16.792612
1.130033	0.2	18.385127
1.133367	0.2	19.799760
