URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/535.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	TAA fed 500 -3
Number	49
Position	B:E8
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/10/2022 5:53:42 PM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	28.000033
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.578035
Signal Max.	76.911426
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.003367	n.a.	0.000000
0.006700	0.2	-0.000019
0.010033	0.2	-0.000084
0.013367	0.2	-0.000144
0.016700	0.2	-0.000144
0.020033	0.2	-0.000149
0.023367	0.2	-0.000172
0.026700	0.2	0.000056
0.030033	0.2	0.000801
0.033367	0.2	0.001774
0.036700	0.2	0.002119
0.040033	0.2	0.001118
0.043367	0.2	-0.001122
0.046700	0.2	-0.003842
0.050033	0.2	-0.006161
0.053367	0.2	-0.007399
0.056700	0.2	-0.007288
0.060033	0.2	-0.006151
0.063367	0.2	-0.004848
0.066700	0.2	-0.004349
0.070033	0.2	-0.005239
0.073367	0.2	-0.007334
0.076700	0.2	-0.009900
0.080033	0.2	-0.012191
0.083367	0.2	-0.013839
0.086700	0.2	-0.014571
0.090033	0.2	-0.014058
0.093367	0.2	-0.012284
0.096700	0.2	-0.009863
0.100033	0.2	-0.007786
0.103367	0.2	-0.006850
0.106700	0.2	-0.007413
0.110033	0.2	-0.009518
0.113367	0.2	-0.012596
0.116700	0.2	-0.015316
0.120033	0.2	-0.016456
0.123367	0.2	-0.015902
0.126700	0.2	-0.014463
0.130033	0.2	-0.013076
0.133367	0.2	-0.012233
0.136700	0.2	-0.011879
0.140033	0.2	-0.011791
0.143367	0.2	-0.011967
0.146700	0.2	-0.012550
0.150033	0.2	-0.013704
0.153367	0.2	-0.015390
0.156700	0.2	-0.017104
0.160033	0.2	-0.018231
0.163367	0.2	-0.018911
0.166700	0.2	-0.019753
0.170033	0.2	-0.020787
0.173367	0.2	-0.021360
0.176700	0.2	-0.021113
0.180033	0.2	-0.020433
0.183367	0.2	-0.019842
0.186700	0.2	-0.019390
0.190033	0.2	-0.018827
0.193367	0.2	-0.018203
0.196700	0.2	-0.017844
0.200033	0.2	-0.017774
0.203367	0.2	-0.017625
0.206700	0.2	-0.017048
0.210033	0.2	-0.015888
0.213367	0.2	-0.014133
0.216700	0.2	-0.012089
0.220033	0.2	-0.010543
0.223367	0.2	-0.010249
0.226700	0.2	-0.011125
0.230033	0.2	-0.012331
0.233367	0.2	-0.013155
0.236700	0.2	-0.013355
0.240033	0.2	-0.013039
0.243367	0.2	-0.012568
