URL	chrom://desktop-atn1jv4/ChromeleonLocal/Instrument Data/VANQUISH_1/Simon/Norbelladine Figures 3 and 4.seq/650.smp/UV_VIS_1.channel/UV_VIS_1.chm
Channel	UV_VIS_1

Injection Information:
Data Vault	ChromeleonLocal
Sequence	Norbelladine Figures 3 and 4
Name	WT fed 500 -3
Number	75
Position	Y:B5
Comment	
Processing Method	norbelladine
Instrument Method	norbelladine
Type	Unknown
Status	Finished
Inject Time	6/11/2022 6:19:31 AM -05:00
Volume (µl)	10.00
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	28.000017
Data Points	8400
Detector	UV
Generating Data System	Chromeleon 7.2.10.24543
Exporting Data System	Chromeleon 7.2.10.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.545266
Signal Max.	70.751691
Channel	UV_VIS_1
Driver Name	VDAD.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:277 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.003350	n.a.	0.000000
0.006683	0.2	0.000028
0.010017	0.2	0.000014
0.013350	0.2	-0.000494
0.016683	0.2	-0.002016
0.020017	0.2	-0.004210
0.023350	0.2	-0.006119
0.026683	0.2	-0.007325
0.030017	0.2	-0.008265
0.033350	0.2	-0.009541
0.036683	0.2	-0.011236
0.040017	0.2	-0.012713
0.043350	0.2	-0.013276
0.046683	0.2	-0.012899
0.050017	0.2	-0.012140
0.053350	0.2	-0.011474
0.056683	0.2	-0.010799
0.060017	0.2	-0.009844
0.063350	0.2	-0.008713
0.066683	0.2	-0.007856
0.070017	0.2	-0.007604
0.073350	0.2	-0.007977
0.076683	0.2	-0.008885
0.080017	0.2	-0.010300
0.083350	0.2	-0.012000
0.086683	0.2	-0.013500
0.090017	0.2	-0.014347
0.093350	0.2	-0.014454
0.096683	0.2	-0.014193
0.100017	0.2	-0.013998
0.103350	0.2	-0.014175
0.106683	0.2	-0.014943
0.110017	0.2	-0.016317
0.113350	0.2	-0.017760
0.116683	0.2	-0.018384
0.120017	0.2	-0.017653
0.123350	0.2	-0.015721
0.126683	0.2	-0.013304
0.130017	0.2	-0.011404
0.133350	0.2	-0.010566
0.136683	0.2	-0.010505
0.140017	0.2	-0.010831
0.143350	0.2	-0.011511
0.146683	0.2	-0.012675
0.150017	0.2	-0.014496
0.153350	0.2	-0.016931
0.156683	0.2	-0.019497
0.160017	0.2	-0.021383
0.163350	0.2	-0.021928
0.166683	0.2	-0.020820
0.170017	0.2	-0.018119
0.173350	0.2	-0.014491
0.176683	0.2	-0.011241
0.180017	0.2	-0.009616
0.183350	0.2	-0.009974
0.186683	0.2	-0.011651
0.190017	0.2	-0.013658
0.193350	0.2	-0.015711
0.196683	0.2	-0.018221
0.200017	0.2	-0.021495
0.203350	0.2	-0.025239
0.206683	0.2	-0.028489
0.210017	0.2	-0.030310
0.213350	0.2	-0.030617
0.216683	0.2	-0.030012
0.220017	0.2	-0.029085
0.223350	0.2	-0.028256
0.226683	0.2	-0.027809
0.230017	0.2	-0.027721
0.233350	0.2	-0.027781
0.236683	0.2	-0.027763
0.240017	0.2	-0.027376
0.243350	0.2	-0.026519
0.246683	0.2	-0.025588
0.250017	0.2	-0.025034
0.253350	0.2	-0.024908
0.256683	0.2	-0.025136
0.260017	0.2	-0.025881
0.263350	0.2	-0.027125
0.266683	0.2	-0.028242
0.270017	0.2	-0.028582
0.273350	0.2	-0.028186
0.276683	0.2	-0.027758
0.280017	0.2	-0.028140
0.283350	0.2	-0.029537
0.286683	0.2	-0.031223
0.290017	0.2	-0.032326
0.293350	0.2	-0.032634
0.296683	0.2	-0.032429
0.300017	0.2	-0.031805
0.303350	0.2	-0.030394
0.306683	0.2	-0.028103
0.310017	0.2	-0.025923
0.313350	0.2	-0.025295
0.316683	0.2	-0.026780
0.320017	0.2	-0.029728
0.323350	0.2	-0.033006
0.326683	0.2	-0.035861
0.330017	0.2	-0.038119
0.333350	0.2	-0.039795
0.336683	0.2	-0.040722
0.340017	0.2	-0.040694
0.343350	0.2	-0.039823
0.346683	0.2	-0.038589
0.350017	0.2	-0.037728
0.353350	0.2	-0.037691
0.356683	0.2	-0.037984
0.360017	0.2	-0.037551
0.363350	0.2	-0.036047
0.366683	0.2	-0.034114
0.370017	0.2	-0.032592
0.373350	0.2	-0.031875
0.376683	0.2	-0.032051
0.380017	0.2	-0.033039
0.383350	0.2	-0.034431
0.386683	0.2	-0.035507
0.390017	0.2	-0.035581
0.393350	0.2	-0.034543
0.396683	0.2	-0.033043
0.400017	0.2	-0.031912
0.403350	0.2	-0.031665
0.406683	0.2	-0.032415
0.410017	0.2	-0.033830
0.413350	0.2	-0.035078
0.416683	0.2	-0.035311
0.420017	0.2	-0.034408
0.423350	0.2	-0.032922
0.426683	0.2	-0.031372
0.430017	0.2	-0.030110
0.433350	0.2	-0.029504
0.436683	0.2	-0.029453
0.440017	0.2	-0.029514
0.443350	0.2	-0.029854
0.446683	0.2	-0.031111
0.450017	0.2	-0.033416
0.453350	0.2	-0.036340
0.456683	0.2	-0.039367
0.460017	0.2	-0.042049
0.463350	0.2	-0.044014
0.466683	0.2	-0.044885
0.470017	0.2	-0.044354
0.473350	0.2	-0.042687
0.476683	0.2	-0.040815
0.480017	0.2	-0.039320
0.483350	0.2	-0.037989
0.486683	0.2	-0.036717
0.490017	0.2	-0.035921
0.493350	0.2	-0.035805
0.496683	0.2	-0.035954
0.500017	0.2	-0.035921
0.503350	0.2	-0.035707
0.506683	0.2	-0.035753
0.510017	0.2	-0.036671
0.513350	0.2	-0.038627
0.516683	0.2	-0.040918
0.520017	0.2	-0.042650
0.523350	0.2	-0.043572
0.526683	0.2	-0.043768
0.530017	0.2	-0.043237
0.533350	0.2	-0.042133
0.536683	0.2	-0.040913
0.540017	0.2	-0.040038
0.543350	0.2	-0.039749
0.546683	0.2	-0.039972
0.550017	0.2	-0.040364
0.553350	0.2	-0.040596
0.556683	0.2	-0.040885
0.560017	0.2	-0.041914
0.563350	0.2	-0.043958
0.566683	0.2	-0.046212
0.570017	0.2	-0.047372
0.573350	0.2	-0.046976
0.576683	0.2	-0.045747
0.580017	0.2	-0.044839
0.583350	0.2	-0.044941
0.586683	0.2	-0.045844
0.590017	0.2	-0.046734
0.593350	0.2	-0.046976
0.596683	0.2	-0.046599
0.600017	0.2	-0.045975
